path,hit
0,0
1,0
2,0
3,12
4,121
5,0
6,162
7,41
8,54
9,0
10,111
11,0
12,6
13,1
14,0
15,8
16,7
17,6
18,21
19,0
20,0
21,0
22,0
23,4
24,0
25,0
26,0
27,0
28,34
29,0
30,0
31,32
32,0
33,83
34,23
35,0
36,1
37,1
38,112
39,58
40,52
41,3
42,0
43,1
44,3
45,62
46,2
47,0
48,69
49,0
50,51
51,0
52,1
53,1
54,0
55,0
56,0
57,102
58,0
59,0
60,0
61,0
62,1
63,23
64,34
65,0
66,35
67,0
68,0
69,52
70,1
71,1
72,0
73,0
74,2
75,2
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,3
91,20
92,347
93,1
94,2
95,1
96,0
97,0
98,0
99,0
